EMAIL,MEMBER_JOIN_DATE,GENDER,MEMBERSHIP_STATUS,AVG_SESSION_LENGTH_MIN,AVG_TIME_ON_APP_MIN,AVG_TIME_ON_WEBSITE_MIN,LIFE_TIME_VALUE
iUXZ6GpqPG@HR2ja.com,2024-04-21,FEMALE,GOLD,9.4095,,9.4095,440.95
Z0SnlaPPub@dGg7W.com,2024-04-03,FEMALE,PLATIN,9.4453,12.4453,,644.53
72lFsDPfiK@eZSct.com,2024-04-01,FEMALE,BASIC,,7.0525,4.0525,5.25
hDHUfUxr3l@qbBJl.com,2024-04-01,MALE,GOLD,8.31,8.31,12.31,531.00
eEvEzKPjVl@yJrzd.com,2024-04-16,MALE,GOLD,7.1738,10.1738,11.1738,417.38
TaKbuBg3ZO@myDoZ.com,2024-04-11,MALE,GOLD,6.8683,7.8683,,486.83
eWoay0fyW4@hWqKS.com,2024-04-08,MALE,PLATIN,11.0044,11.0044,9.0044,600.44
KvAdD57GUq@m9uVi.com,2024-04-02,MALE,BASIC,3.5254,2.5254,,52.54
gknl3npLp0@FulVJ.com,2024-04-20,FEMALE,SILVER,8.035,10.035,,303.50
C6DQL3pxr1@9JNzB.com,2024-04-24,MALE,PLATIN,9.8667,,10.8667,586.67
3cDBTOJVSX@dBHeF.com,2024-04-07,MALE,GOLD,7.2958,,10.2958,529.58
Crd6IEIihx@sKy8i.com,2024-04-18,MALE,GOLD,5.9809,8.9809,6.9809,398.09
oIvA6xPkBz@TwGdH.com,2024-04-12,MALE,BRONZE,4.5918,,7.5918,159.18
UGrsUp8Bf6@uPqk7.com,2024-04-19,MALE,PLATIN,,10.2198,13.2198,621.98
Hm8UATyubZ@g3BLg.com,2024-04-05,MALE,BASIC,2.2652,4.2652,,126.52
IQ5GswrKoS@yL2fV.com,2024-04-24,FEMALE,BASIC,1.8653,,6.8653,86.53
qLFksKSMae@esd5i.com,2024-04-17,MALE,DIAMOND,9.5871,12.5871,10.5871,658.71
3RGCCq4M2G@8DlTy.com,2024-04-04,MALE,SILVER,6.6713,6.6713,8.6713,267.13
Idr7Eq53bx@slOck.com,2024-04-24,FEMALE,DIAMOND,9.832,13.832,,683.20
EGtW8Fkasu@dEohc.com,2024-04-25,FEMALE,GOLD,7.0124,12.0124,,501.24
ACHnQphwPg@v7R3e.com,2024-04-11,MALE,BASIC,0.0317,7.0317,3.0317,3.17
kDNApg5Jq9@O1hQD.com,2024-04-14,MALE,BRONZE,3.5277,3.5277,5.5277,152.77
ZGlH6lDaM6@vcK5b.com,2024-04-08,MALE,SILVER,6.3145,9.3145,8.3145,331.45
kgWd5uw7uM@qM4F5.com,2024-04-13,MALE,GOLD,4.7638,10.7638,6.7638,376.38
kNh17Nz7cE@SW42x.com,2024-04-03,MALE,GOLD,10.3068,10.3068,10.3068,530.68
3KQFrBHC68@1qaOy.com,2024-04-28,FEMALE,PLATIN,6.3324,10.3324,10.3324,633.24
J5mkmNxOTN@mixGh.com,2024-04-09,FEMALE,BRONZE,5.2092,9.2092,8.2092,220.92
0Csat71THt@YwHCU.com,2024-04-04,FEMALE,PLATIN,9.3656,7.3656,12.3656,636.56
BaMCX5mEr1@sML0X.com,2024-04-01,MALE,BASIC,3.3765,6.3765,4.3765,137.65
CAtiTxxWM2@jWPht.com,2024-04-26,MALE,BASIC,,7.3991,7.3991,39.91
dTlDr3ZBy9@BPgDg.com,2024-04-03,MALE,BRONZE,,8.1677,8.1677,216.77
M3uOCuiXJx@owYhP.com,2024-04-06,FEMALE,BASIC,1.6161,,4.6161,61.61
CylI0pi4vP@WKTfw.com,2024-04-01,MALE,PLATIN,7.3191,11.3191,11.3191,631.91
8GtERUhEPV@68Ud3.com,2024-04-03,MALE,BASIC,5.3701,,7.3701,37.01
vEWKCDmG4w@uQMDc.com,2024-04-25,MALE,BASIC,4.0604,,8.0604,106.04
b8nyc0wP8B@XyiM4.com,2024-04-07,MALE,SILVER,,10.1768,6.1768,317.68
ZrEWDTIXc4@sRA4v.com,2024-04-16,MALE,SILVER,,7.2621,9.2621,326.21
jaMlir6Yko@iLXXD.com,2024-04-10,MALE,SILVER,4.3477,7.3477,,334.77
uXrUMraoQD@L34mZ.com,2024-04-24,MALE,DIAMOND,10.0108,,12.0108,701.08
6tYlEBzp79@8RWgA.com,2024-04-20,MALE,BRONZE,,4.1538,5.1538,215.38
HmlT1me0AY@jXZUU.com,2024-04-21,FEMALE,GOLD,,10.9246,8.9246,392.46
tScrSysJ3P@1UytB.com,2024-04-03,FEMALE,BRONZE,2.1208,5.1208,7.1208,212.08
RRl6nbl2LT@bbQ46.com,2024-04-22,MALE,DIAMOND,10.4772,8.4772,,747.72
ocPyEGq11C@1MXlx.com,2024-04-14,FEMALE,SILVER,8.2266,,8.2266,322.66
ozYAstCII8@WFQFz.com,2024-04-13,FEMALE,GOLD,4.9346,,10.9346,493.46
SqXQEHXrKz@Eu2yW.com,2024-04-01,FEMALE,PLATIN,8.6108,6.6108,10.6108,561.08
ZvQB3D1WJQ@2NZ4Z.com,2024-04-18,MALE,DIAMOND,11.655,8.655,,665.50
k5ZUlY3oml@Pd0E5.com,2024-04-21,MALE,DIAMOND,12.1533,10.1533,13.1533,715.33
gblgZK2HjL@HeLdW.com,2024-04-05,MALE,BASIC,6.3663,7.3663,4.3663,136.63
Uc7vlHiu0r@tpCAe.com,2024-04-05,FEMALE,PLATIN,10.0848,,10.0848,608.48
GZxPTTC5sS@rpVnR.com,2024-04-19,MALE,BRONZE,,6.9083,7.9083,190.83
ZLZ8y10XMQ@U5lrf.com,2024-04-06,MALE,SILVER,,9.2554,6.2554,325.54
5Z0io6wgMA@GN9Am.com,2024-04-10,FEMALE,BRONZE,4.8491,3.8491,8.8491,184.91
uxlJkqqhor@Y1maf.com,2024-04-01,FEMALE,PLATIN,6.3661,11.3661,10.3661,636.61
4qUEYwUkdU@Vwg43.com,2024-04-01,MALE,GOLD,10.1293,6.1293,12.1293,512.93
kUkP41qyFO@TadTF.com,2024-04-04,MALE,BRONZE,,4.0905,5.0905,209.05
yuvd4cOqot@QT7w1.com,2024-04-04,FEMALE,GOLD,8.9306,,9.9306,493.06
pRPafxez2w@asxbj.com,2024-04-15,MALE,PLATIN,7.9257,7.9257,9.9257,592.57
4bOC9H4UHD@NBZ8J.com,2024-04-09,FEMALE,BRONZE,,6.7987,4.7987,179.87
jsi0BLUKzp@qPU5w.com,2024-04-12,FEMALE,BASIC,3.4003,6.4003,6.4003,40.03
LqUgjpm9ns@26fkl.com,2024-04-11,MALE,BASIC,,6.8886,3.8886,88.86
JP4VMt3nWj@OV64q.com,2024-04-10,FEMALE,SILVER,3.46,8.46,8.46,346.00
6zeXWp4dMK@sqsuX.com,2024-04-15,FEMALE,SILVER,3.263,6.263,9.263,326.30
XxlHKbZ3hs@C8LSB.com,2024-04-25,FEMALE,BASIC,2.3627,6.3627,4.3627,36.27
VqpW1ERM5t@MeQfg.com,2024-04-21,MALE,PLATIN,8.1995,12.1995,9.1995,619.95
SDmQfbjMJ9@reZKD.com,2024-04-05,MALE,BASIC,0.3884,7.3884,,38.84
TEEbPWLPoo@BcfSV.com,2024-04-15,MALE,DIAMOND,11.2549,14.2549,14.2549,725.49
AsSHEN5lCt@kS99N.com,2024-04-03,MALE,BRONZE,2.0012,9.0012,6.0012,200.12
7H4OuT3mVH@utGVl.com,2024-04-16,MALE,GOLD,7.5459,10.5459,10.5459,354.59
blSwUZWJPv@nocaK.com,2024-04-02,FEMALE,DIAMOND,,7.5557,12.5557,655.57
YPkNjkDN0S@LBLQO.com,2024-04-11,FEMALE,BRONZE,2.0919,9.0919,5.0919,209.19
7r42BJOcnH@h2Zvr.com,2024-04-21,FEMALE,BASIC,4.234,7.234,7.234,23.40
TWcgD71tS6@0QtMk.com,2024-04-19,MALE,PLATIN,9.0252,8.0252,,602.52
hAZ72J6sIP@ubcWJ.com,2024-04-10,FEMALE,BRONZE,2.3829,3.3829,7.3829,238.29
5I8B3D8FYU@af2eD.com,2024-04-22,MALE,DIAMOND,11.0316,,13.0316,703.16
fgXITHJpR0@xjF6p.com,2024-04-19,MALE,PLATIN,7.4187,8.4187,,641.87
QssX2F7h3V@S2Rpf.com,2024-04-14,FEMALE,BRONZE,2.4867,3.4867,9.4867,248.67
nxZnOJhkFh@9qZu9.com,2024-04-19,FEMALE,GOLD,7.8495,11.8495,11.8495,484.95
VvV6khSIuh@RLEGw.com,2024-04-03,MALE,GOLD,,11.3764,8.3764,537.64
IzzC6BZFeO@icG0I.com,2024-04-22,MALE,BRONZE,,7.9742,6.9742,197.42
jrrnulrvoK@VePpk.com,2024-04-15,MALE,PLATIN,6.4722,7.4722,12.4722,647.22
WVFxI0MOe3@61rhE.com,2024-04-13,MALE,SILVER,6.9745,,6.9745,297.45
J0tdZa4ztf@ysoK9.com,2024-04-14,MALE,GOLD,5.3697,,11.3697,436.97
gZ4pJgosl1@qfCyb.com,2024-04-10,MALE,GOLD,5.9326,9.9326,7.9326,493.26
kSYiyKSRo3@xV4qH.com,2024-04-21,MALE,DIAMOND,10.0945,14.0945,,709.45
wouE3ApGfC@ND4KN.com,2024-04-08,MALE,DIAMOND,8.5184,10.5184,11.5184,651.84
snyjkpWeOI@VZcq4.com,2024-04-25,MALE,DIAMOND,8.2046,11.2046,,720.46
LjxpperDZX@TmQ5Z.com,2024-04-24,FEMALE,DIAMOND,,11.0796,12.0796,707.96
FRLRWgK88o@W9QMN.com,2024-04-26,MALE,BRONZE,6.5909,3.5909,6.5909,159.09
ofUnRG05SU@VPLms.com,2024-04-25,MALE,GOLD,7.5577,6.5577,9.5577,455.77
zI2DEXiV6k@0CCKK.com,2024-04-08,FEMALE,BRONZE,3.4077,8.4077,6.4077,240.77
CwnyiTwMzt@qOrUH.com,2024-04-21,FEMALE,BRONZE,,3.2902,6.2902,229.02
aLbsiYG5kp@AwxR7.com,2024-04-06,MALE,BRONZE,2.9077,2.9077,5.9077,190.77
iHZBIU8GWV@sImZq.com,2024-04-28,FEMALE,DIAMOND,,13.5008,11.5008,650.08
1WJuhf2wTD@tC5oH.com,2024-04-17,FEMALE,BRONZE,,8.3539,7.3539,235.39
Zu9mD2kMFV@6gHlA.com,2024-04-03,FEMALE,BASIC,4.3673,,7.3673,36.73
9nIvMaxpwN@31ybJ.com,2024-04-27,MALE,BASIC,1.1665,2.1665,6.1665,116.65
4R3L9dYoNJ@L2A48.com,2024-04-23,FEMALE,BRONZE,5.2685,,7.2685,226.85
jzLioYEptz@5FyLW.com,2024-04-23,MALE,GOLD,,6.0512,8.0512,505.12
3u4y9djpAS@xXf3Q.com,2024-04-15,MALE,BASIC,4.438,4.438,,143.80
lCspifWU8r@RZior.com,2024-04-10,FEMALE,GOLD,7.164,,10.164,416.40
ZouYqnCKRn@IcxIm.com,2024-04-10,MALE,SILVER,5.7144,7.7144,,271.44
2Ogc4ei9GH@HILVu.com,2024-04-15,MALE,BRONZE,5.8648,,4.8648,186.48
CMm8JXwjbI@ALTJK.com,2024-04-07,MALE,GOLD,,10.1116,9.1116,511.16
VC0mwDzo4d@6kKsc.com,2024-04-25,FEMALE,PLATIN,6.2845,13.2845,10.2845,628.45
g94JtTFYvk@zvwu5.com,2024-04-09,MALE,GOLD,6.5031,8.5031,10.5031,450.31
VSflOFIhhJ@VIknp.com,2024-04-10,MALE,PLATIN,10.6622,6.6622,9.6622,566.22
Nhdsjejno1@V5Xlq.com,2024-04-15,MALE,GOLD,5.9951,9.9951,6.9951,399.51
0sr9S5n7NU@yWxNQ.com,2024-04-28,MALE,DIAMOND,10.8391,8.8391,11.8391,683.91
Foin9dvajE@cpvS2.com,2024-04-24,MALE,BASIC,1.0718,,7.0718,7.18
6VrWncUvts@j6b5H.com,2024-04-20,MALE,PLATIN,7.5851,,10.5851,558.51
PnNemvklTX@gnGXe.com,2024-04-13,MALE,DIAMOND,7.798,,13.798,679.80
eGgXxHPNxa@rDvvF.com,2024-04-07,MALE,SILVER,,5.8893,6.8893,288.93
CbRbyWP64Z@tO8Rn.com,2024-04-12,FEMALE,BASIC,,3.249,4.249,124.90
GeEbsjW3s8@Jqcgb.com,2024-04-14,MALE,GOLD,5.5175,5.5175,,451.75
7T2HlksZT0@55WYl.com,2024-04-02,FEMALE,PLATIN,10.3367,11.3367,12.3367,633.67
qMOyOWFPc5@Tlrgm.com,2024-04-12,FEMALE,BASIC,,5.3735,6.3735,37.35
WWWBNzK1fi@r8wrF.com,2024-04-06,MALE,BASIC,2.5031,5.5031,,50.31
hu1wuM2ufA@CErjx.com,2024-04-23,FEMALE,PLATIN,6.9901,7.9901,9.9901,599.01
mbHaYCDHQz@uaHLI.com,2024-04-12,MALE,GOLD,7.5588,6.5588,9.5588,455.88
8LmXDzlkog@5sxBk.com,2024-04-21,FEMALE,PLATIN,8.2151,8.2151,12.2151,621.51
r7ruDDhXUR@foRtr.com,2024-04-02,MALE,GOLD,8.1824,11.1824,,518.24
tMPqI7CheB@OBF7K.com,2024-04-09,MALE,GOLD,4.0723,11.0723,9.0723,407.23
ONCZtqbamJ@7L01O.com,2024-04-05,MALE,BASIC,1.2726,6.2726,7.2726,27.26
BChfZMNLsc@gSLgt.com,2024-04-16,MALE,BASIC,4.7425,6.7425,4.7425,74.25
zbFE7HCzz6@VT6W3.com,2024-04-26,MALE,BRONZE,5.7837,8.7837,8.7837,178.37
1tCCEXsXJS@ixETZ.com,2024-04-04,MALE,BRONZE,3.8116,2.8116,8.8116,181.16
rI03sXF2oh@SzvFD.com,2024-04-14,FEMALE,SILVER,8.1729,10.1729,9.1729,317.29
n6vKpsuy7i@rnCBl.com,2024-04-06,FEMALE,DIAMOND,8.0741,10.0741,14.0741,707.41
aHJLPiJNis@Ud6jO.com,2024-04-20,MALE,BASIC,3.2097,4.2097,8.2097,120.97
RrODkuIXBP@PS3H5.com,2024-04-06,MALE,GOLD,9.966,6.966,7.966,496.60
Ulx9g1hwbR@RZz9V.com,2024-04-07,MALE,SILVER,5.7607,9.7607,8.7607,276.07
1z1MkCEouv@dV8uG.com,2024-04-21,MALE,GOLD,9.0627,,9.0627,406.27
QvkInoPfDv@6RmoA.com,2024-04-05,FEMALE,BRONZE,5.6595,8.6595,,165.95
FsM9dmZNjN@1ji2e.com,2024-04-15,FEMALE,GOLD,,6.4514,9.4514,445.14
m5QWbkSGGu@oyfbW.com,2024-04-13,MALE,GOLD,8.9475,8.9475,10.9475,494.75
kOqgVOcYDs@Phm4l.com,2024-04-03,FEMALE,GOLD,6.5857,5.5857,,358.57
oM6oVdVMXQ@aBoyw.com,2024-04-08,MALE,SILVER,2.7718,8.7718,8.7718,277.18
vvhhmGF7Kp@8ztSA.com,2024-04-26,MALE,GOLD,6.218,8.218,11.218,521.80
s7FkZRmCkw@eMeLW.com,2024-04-27,MALE,BASIC,,2.3599,6.3599,135.99
dXwzxn5CIt@eyhKP.com,2024-04-21,MALE,BRONZE,3.8565,,5.8565,185.65
8VXAKEHtsW@2UXgq.com,2024-04-06,MALE,GOLD,7.792,,6.792,379.20
Gal11Qy94B@LIypL.com,2024-04-18,FEMALE,DIAMOND,6.5138,10.5138,,651.38
g2pTMtLDUk@0xa9o.com,2024-04-08,FEMALE,SILVER,,9.0958,7.0958,309.58
9dIDSIhXfS@Kqp02.com,2024-04-01,MALE,PLATIN,,11.8149,9.8149,581.49
uftoSrWupa@HynHd.com,2024-04-13,MALE,GOLD,,11.9416,7.9416,494.16
lvkOX8BTCL@BXspj.com,2024-04-04,MALE,SILVER,6.8847,,9.8847,288.47
a43qFENCJ0@W7McR.com,2024-04-23,FEMALE,BRONZE,6.1593,4.1593,7.1593,215.93
XouZ94Bpcu@mzSpZ.com,2024-04-26,MALE,BRONZE,5.9808,4.9808,6.9808,198.08
Uhzg3EbvbY@6xadQ.com,2024-04-16,MALE,BRONZE,2.4113,5.4113,7.4113,241.13
YiuPnXcOF8@FCMuu.com,2024-04-02,MALE,GOLD,,9.2906,10.2906,529.06
DtDeh88VkD@W1YyB.com,2024-04-24,FEMALE,DIAMOND,6.8765,8.8765,13.8765,687.65
974XbxlqbI@jdNcI.com,2024-04-21,FEMALE,BASIC,5.8531,5.8531,3.8531,85.31
TZGTSynFit@pvQhc.com,2024-04-05,MALE,BRONZE,1.8344,5.8344,7.8344,183.44
hlnSGF8qsV@4tPf9.com,2024-04-04,MALE,PLATIN,9.0677,11.0677,10.0677,606.77
IVUIDwmwEn@cDXVd.com,2024-04-07,FEMALE,SILVER,,8.1961,6.1961,319.61
OvXy9mtizE@KAEAi.com,2024-04-20,MALE,GOLD,5.2627,12.2627,9.2627,526.27
ffk0OU44vO@uOIVn.com,2024-04-07,FEMALE,GOLD,5.7549,,10.7549,475.49
4WUWTFFisr@w5yO7.com,2024-04-21,MALE,BASIC,4.4533,7.4533,4.4533,45.33
3osO6WCC1C@fRHwD.com,2024-04-12,FEMALE,GOLD,,10.8232,9.8232,482.32
qWr5eGjU8s@e7Ggl.com,2024-04-27,MALE,SILVER,5.495,10.495,6.495,349.50
p6ERUXkjEO@qcmMe.com,2024-04-03,MALE,BRONZE,6.5285,6.5285,6.5285,152.85
4zJLcaKyUA@gomq3.com,2024-04-04,MALE,SILVER,6.0735,10.0735,6.0735,307.35
jD6TUQ6CLJ@4Zy6Y.com,2024-04-26,FEMALE,DIAMOND,12.439,13.439,13.439,743.90
QE4eh6ISUT@8mIyL.com,2024-04-02,MALE,GOLD,7.8002,,8.8002,380.02
aBWhs3msPW@JQuBF.com,2024-04-22,MALE,BASIC,3.5449,,3.5449,54.49
gPjD3WkdU8@CwBeT.com,2024-04-16,MALE,GOLD,7.4696,,8.4696,446.96
CoczILN0pT@UI9mK.com,2024-04-18,MALE,SILVER,,3.8168,5.8168,281.68
bKTku2x8tg@C5SAI.com,2024-04-28,MALE,DIAMOND,,11.7478,9.7478,674.78
bFcdU5tBcv@eFAgm.com,2024-04-07,FEMALE,GOLD,6.2926,7.2926,11.2926,529.26
apAfwyooL2@hfLic.com,2024-04-27,MALE,GOLD,8.5361,9.5361,9.5361,353.61
8v9TSNroY0@zem7Q.com,2024-04-16,MALE,BASIC,4.676,1.676,5.676,67.60
hAlvoBS98Z@zYSIS.com,2024-04-06,FEMALE,SILVER,4.699,,5.699,269.90
8GO5ZNqjGI@THZIA.com,2024-04-19,FEMALE,BASIC,3.5028,5.5028,7.5028,50.28
1HHkRTrsfy@3J3gb.com,2024-04-27,FEMALE,BASIC,,7.1538,7.1538,115.38
scdDLNmrUs@8DAAA.com,2024-04-13,MALE,GOLD,10.0479,9.0479,,504.79
BT3fyz89FU@Adyrd.com,2024-04-04,MALE,DIAMOND,11.7483,11.7483,12.7483,674.83
xVQJWku1eF@SxED0.com,2024-04-20,MALE,BASIC,1.299,2.299,7.299,129.90
2HAHfdWEZ2@KtVRt.com,2024-04-28,MALE,GOLD,5.2988,8.2988,8.2988,429.88
pbD1IXQgCC@KptLi.com,2024-04-10,FEMALE,GOLD,6.761,5.761,6.761,376.10
f92PmvLLKx@KRNUo.com,2024-04-25,MALE,BASIC,0.2415,5.2415,3.2415,24.15
ktlbQIWnMo@qII8H.com,2024-04-04,MALE,GOLD,8.8409,,8.8409,484.09
SfeZyLlmnI@G1WeJ.com,2024-04-18,MALE,GOLD,5.1526,,8.1526,515.26
2Fieh9W6du@E2MJp.com,2024-04-27,MALE,BRONZE,4.3004,8.3004,8.3004,230.04
D7UDlkkAk2@y6eTz.com,2024-04-21,FEMALE,GOLD,4.367,7.367,7.367,436.70
9q9Tg0abft@o8WaE.com,2024-04-13,FEMALE,BASIC,5.2784,6.2784,4.2784,127.84
jTRBtaxQoW@cLZJ0.com,2024-04-03,MALE,SILVER,2.5108,7.5108,,251.08
GE9ZgDEwIC@aZiwE.com,2024-04-19,MALE,BASIC,3.2164,2.2164,4.2164,21.64
AqlDv5VlHt@zAPXe.com,2024-04-03,MALE,PLATIN,,10.1328,9.1328,613.28
Ol9vXxuE21@aDKZj.com,2024-04-14,FEMALE,GOLD,8.4021,5.4021,7.4021,440.21
S8t57dlmii@oPtv5.com,2024-04-10,FEMALE,PLATIN,8.7869,6.7869,8.7869,578.69
6fspjd7RPT@MgCk6.com,2024-04-26,MALE,PLATIN,9.1507,9.1507,10.1507,615.07
MDeJgDQrFS@eZOba.com,2024-04-18,MALE,GOLD,5.0657,12.0657,10.0657,506.57
gRQNxaBRuh@6hap4.com,2024-04-24,MALE,BASIC,3.011,7.011,5.011,1.10
fOwQ6J6aZf@3WTA4.com,2024-04-26,MALE,BASIC,1.5291,5.5291,,52.91
1IktiTLm3M@TAFmQ.com,2024-04-10,MALE,BASIC,1.6657,3.6657,4.6657,66.57
sl131PYhbg@YfWCu.com,2024-04-10,FEMALE,BASIC,3.2088,,5.2088,20.88
N25dxmr40v@C4iLR.com,2024-04-05,MALE,BASIC,2.2046,2.2046,4.2046,20.46
WDcnco3h4G@Cu017.com,2024-04-18,MALE,DIAMOND,10.1536,,13.1536,715.36
oDCN49XpoE@lAh8G.com,2024-04-10,MALE,DIAMOND,11.5518,9.5518,11.5518,655.18
UdB4y9bvAt@9jtVa.com,2024-04-09,MALE,GOLD,6.4779,11.4779,11.4779,447.79
d8OebM1y4J@KqC82.com,2024-04-03,MALE,DIAMOND,7.3823,,12.3823,738.23
S1VUiYrcqG@TpNU3.com,2024-04-06,FEMALE,SILVER,4.1936,9.1936,7.1936,319.36
QZEqWr9WZY@1InhQ.com,2024-04-17,MALE,GOLD,7.4109,7.4109,,441.09
E7wqe1y0CC@e7dXX.com,2024-04-07,MALE,GOLD,9.0579,9.0579,9.0579,505.79
eoA6zhSF0E@iFVwQ.com,2024-04-25,MALE,PLATIN,,7.5029,12.5029,550.29
Uz2dEzQl9r@tb0bh.com,2024-04-18,MALE,GOLD,6.6983,5.6983,6.6983,369.83
ZNWFLXBniT@N8WPc.com,2024-04-17,MALE,DIAMOND,12.4072,13.4072,11.4072,740.72
47i6Y6zJ1h@9KDHr.com,2024-04-07,MALE,PLATIN,9.7401,12.7401,8.7401,574.01
mSSUko8yqZ@1ISW9.com,2024-04-01,MALE,BASIC,3.3723,1.3723,,37.23
IORAJIKC1c@7XJPH.com,2024-04-08,FEMALE,BRONZE,2.5226,8.5226,,152.26
0QyRo4AJu0@ig98G.com,2024-04-26,MALE,BRONZE,,6.3919,8.3919,239.19
bnJSErqnhq@6tYdz.com,2024-04-03,FEMALE,BASIC,2.7915,6.7915,7.7915,79.15
JmaSFMPSs7@fEoTj.com,2024-04-15,MALE,SILVER,7.5695,4.5695,6.5695,256.95
FIEtDqEqls@bzCrh.com,2024-04-17,MALE,DIAMOND,7.829,7.829,9.829,682.90
tScFJElxqD@Oi1C9.com,2024-04-11,MALE,GOLD,6.9524,,7.9524,495.24
56woXj4fhj@jjYw9.com,2024-04-15,MALE,GOLD,4.2909,11.2909,,429.09
x0p7N4tloh@8yAC1.com,2024-04-26,FEMALE,BASIC,4.6708,1.6708,6.6708,67.08
